food_id,title,category,tags,重量(g),熱量,蛋白質(g),脂肪(g),碳水化合物(g),糖,鈉
0,雙蔬鮪魚飯糰,飯糰,鮪魚、蔬菜,109,221,5.3,6.1,36.1,0.7,350
1,御選肉鬆飯糰,飯糰,肉鬆,103,234,5.4,6.5,38.4,2.5,328
2,魚卵小龍蝦沙拉飯糰,飯糰,魚卵、小龍蝦、沙拉,109,217,4.7,5.8,36.6,1.1,297
3,蔥鹽燒肉飯糰,飯糰,蔥、鹽巴、燒肉,111,209,5.9,4.1,37,0,422
4,熟成鮭魚卵飯糰,飯糰,鮭魚卵,99,186,5.8,3.2,33.6,0.8,221
5,炙燒雪花牛飯糰,飯糰,牛肉,108,212,5.9,5.8,34,1.3,460
6,雞肉飯飯糰,飯糰,雞肉,110,211,6.8,5.7,33.2,2.4,524
7,秋鮭鮪魚雙手卷,飯糰,鮭魚、鮪魚,192,342,8.8,7.5,59.9,6.3,797
8,阜杭豆漿-經典飯糰,飯糰,豆漿,184,527,9.9,25.4,64.8,5.2,754
9,黑松露白醬鮭魚飯糰,飯糰,松露、白醬、鮭魚,121,206,6.3,4,36.3,0,220
10,照燒雞糖心蛋三明治,三明治,雞肉、糖心蛋,99,215,12.3,9.5,20,2.6,489
11,花生巧克力風味三明治,三明治,花生、巧克力,79,264,6.6,12.4,31.4,8.8,209
12,藍莓乳酪三明治,三明治,藍莓、乳酪,71,175,4.5,5.5,26.9,5.2,173
13,紐奧良風味鮮蔬烤雞三明治,三明治,蔬菜、烤雞,111,279,13.8,15.1,21.9,3.9,717
14,起司火腿蛋三明治,三明治,起司、火腿、蛋,78,219,5.7,9.3,27.1,4.1,382
15,小龍蝦沙拉蛋三明治,三明治,小龍蝦、沙拉、蛋,90,252,6.8,14.2,24.2,3.6,345
16,起司三重奏三明治,三明治,起司,86,279,9.3,15.1,26.5,3.2,337
17,雙起司鮪魚堡,麵包,起司、鮪魚,110,347,11.4,14.5,42.6,11.1,319
18,切達起司貝果,麵包,起司、貝果,111,348,10.7,9.1,55.9,20.8,432
19,藍莓寒天貝果,麵包,藍莓、貝果,103,278,8.5,3.5,53.1,13.7,388
20,海苔肉鬆麵包,麵包,海苔、肉鬆,102,421,10,20.3,49.5,15.1,410
21,起司千島熱狗堡,麵包,起司、熱狗,105,339,10.5,17.3,35.3,9.5,659
22,菱格香菠蘿,麵包,菠蘿,104,405,10,16.6,54,18.1,220
23,海鹽羅宋麵包,麵包,海鹽、羅宋,114,456,10.5,18.9,60.9,13.7,445
24,芝麻肉鬆麵包,麵包,芝麻、肉鬆,105,424,10.7,18.8,53.1,12.1,434
25,紅豆麵包,麵包,紅豆,104,302,8.5,5.8,54,29.3,134
26,奶酥麵包,麵包,奶酥,107,424,10.7,19.7,50.9,24.3,224
27,雙起司方塊麵包,麵包,起司,95,303,10.6,11.4,39.5,7.7,564
28,咖哩麵包,麵包,咖哩、日式,95,275.2,7.3,11.1,36.5,2,457
29,卡士達麵包,麵包,卡士達,93,292,7.5,11.9,38.8,14.3,192
30,晨光葡萄吐司,麵包,葡萄、吐司,130,369,11.2,7.4,64.2,22.5,434
31,完熟番茄蔬菜湯,湯,番茄、蔬菜,300,123,5.4,2.7,19.2,8.1,861
32,香菇雞湯,湯,香菇、雞,300,114,12.6,6.9,0.3,0,978
33,酸菜豬血湯,湯,酸菜、豬血,300,75,7.8,4.2,1.5,0,963
34,剝皮辣椒雞湯,湯,剝皮辣椒、雞,317,107,12,5.1,3.2,2.5,1474
35,綠竹筍排骨湯,湯,竹筍、排骨,300,103,10.2,6.9,0,0,525
36,排骨酥湯,湯,排骨,310,159,10.2,6.8,14.3,2.5,1008
37,雞胸肉花椰菜飯減醣餐,飯,雞肉、蔬菜,322,319,15.5,6.1,50.6,9,1082
38,香烤雞胸鮮蔬餐,飯,雞肉、烤雞、蔬菜,300,345,18.6,6.6,52.8,7.8,558
39,21plus香草烤雞腿時蔬餐,飯,雞肉、烤雞、蔬菜,293,408,25.5,13.8,45.4,3.2,1096
40,紅燒牛肉燴飯,飯,牛肉,433,592,16.9,9.5,109.6,2.6,788
41,麻婆豆腐燴飯,飯,辣、四川,505,631,27.3,16.7,92.9,4,1495
42,佛蒙特咖哩飯,飯,咖哩、豬肉,522,768,22.4,16.2,133.1,0,940
43,法式白醬海鮮焗飯,飯,焗烤、海鮮、法式,356,543,18.2,17.8,77.6,1.8,1111
44,雙拼起司奶香焗飯,飯,起司、焗烤、牛奶,343,574,19.6,20.2,78.5,2.1,1080
45,牛角炭火燒肉便當,飯,豬肉、便當,309,594,16.4,18.2,91.2,9.6,714
